GEOID,place_name,state_abbr,pop_2020,adoption_year,year_found,search_class,obyrne_label,adopt_by2012,status_final,audit_note,source_type,evidence_note
0667000,San Francisco city,CA,870518,2007,2007.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,San Francisco SF311 launched in 2007.
5363000,Seattle city,WA,740565,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Seattle operates a Customer Service Bureau (established 1965) and routes calls through 311, but the specific year the 311 number was activated could not be confirmed."
0820000,Denver city,CO,717606,2006,2006.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Denver 311 launched in 2006.
4055000,Oklahoma City city,OK,683078,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Oklahoma City operates an Action Center for non-emergency service requests with 311 routing, but the launch year of the 311 number could not be verified."
4824000,El Paso city,TX,679255,2011,2011.0,year_found,not_adopted_by2012,0.0,conflict_fp,FP-conflict: search found year 2011 but O'Byrne (2012 survey) says not adopted. Verify source.,news,EP311 launched in 2011 as El Paso's non-emergency citizen service center.
2507000,Boston city,MA,675466,2009,2009.0,year_found,not_adopted_by2012,0.0,conflict_fp,FP-conflict: search found year 2009 but O'Byrne (2012 survey) says not adopted. Verify source.,official,Boston launched its 311 system (BOS:311) in 2009.
4159000,Portland city,OR,653344,2021,2021.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,official,"PDX 311 launched in fiscal year 2020-21, consolidating city service request channels into a single 311 system."
3240000,Las Vegas city,NV,646794,2000,2000.0,year_found,not_adopted_by2012,0.0,conflict_fp,FP-conflict: search found year 2000 but O'Byrne (2012 survey) says not adopted. Verify source.,news,"Las Vegas Sun reported the city's 311 system went active on October 30, 2000."
2622000,Detroit city,MI,638300,2005,2005.0,year_found,adopted_by2012,1.0,adopted_year_verified,,news,"GovTech reports Detroit's ""One Call to City Hall"" 311 call center launched in 2005 and handled 400+ service types; closed June 30, 2012 as a cost-savings measure."
4748000,Memphis city,TN,635225,2013,2013.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,Memphis launched its 311 call center and associated app in 2013.
2404000,Baltimore city,MD,583157,1996,1996.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Baltimore launched the first 311 system in the US in October 1996.
5553000,Milwaukee city,WI,577207,2012,2012.0,year_found,not_adopted_by2012,0.0,conflict_fp,FP-conflict: search found year 2012 but O'Byrne (2012 survey) says not adopted. Verify source.,news,Milwaukee established its Unified Call Center / 311 system in 2012.
3502000,Albuquerque city,NM,564888,2005,2005.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Albuquerque launched its 311 system in 2005.
0627000,Fresno city,CA,542710,2019,2019.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,Fresno formally launched its 311 system in 2019; an earlier One Call Center had operated since 2006 but was not branded 311.
0477000,Tucson city,AZ,542638,2023,2023.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,Tucson launched its 311 non-emergency number in early 2023.
0664000,Sacramento city,CA,525528,2008,2008.0,year_found,adopted_by2012,1.0,adopted_year_verified,,secondary,"Esri case study states Sacramento's 311 launched in 2008 and logs approximately 500,000 interactions per year."
2938000,Kansas City city,MO,508220,2007,2007.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Kansas City MO launched its 311 system in 2007.
0446000,Mesa city,AZ,505890,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Mesa uses ""Mesa CityLink"" (CitySourced platform) for non-emergency requests; no source specifies launch year; Socrata data starts 2017 and CityLink app suggests mid-2010s, but exact year unconfirmed."
1304000,Atlanta city,GA,499896,2014,2014.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,"ATL311 officially opened on October 22, 2014 as Atlanta's centralized non-emergency service request system."
3137000,Omaha city,NE,492758,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Omaha uses the Mayor's Hotline (402-444-5555) for non-emergency service requests and does not operate a 311 system.
0816000,Colorado Springs city,CO,480331,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Colorado Springs uses a direct non-emergency line (719-444-7000) and does not operate a 311 system.
0643000,Long Beach city,CA,465585,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Long Beach uses the ""LB Better"" (formerly ""Go Long Beach"") service request app but a formal 311 phone launch date could not be confirmed."
3755000,Raleigh city,NC,465354,2011,2011.0,year_found,not_adopted_by2012,0.0,conflict_fp,FP-conflict: search found year 2011 but O'Byrne (2012 survey) says not adopted. Verify source.,news,Raleigh launched SeeClickFix-based 311 in 2011; the service was later replaced by the Ask Raleigh platform in 2025.
5182000,Virginia Beach city,VA,459684,2006,2006.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Virginia Beach launched its 311 system in 2006.
1245000,Miami city,FL,442827,2004,2004.0,year_found,not_in_obyrne,,adopted_year_verified,,news,"Miami-Dade 311 has been operational since 2004, serving the City of Miami and surrounding county municipalities."
0653000,Oakland city,CA,440943,2018,2018.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,"Oakland North reports Oakland officially launched the unified OAK 311 system (phone, website, app) in April 2018; prior service used SeeClickFix without unified 311 branding (note: O'Byrne 2015 flags Oakland as adopted by 2012, possibly counting earlier call-center service)."
2743000,Minneapolis city,MN,430710,2003,2003.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Minneapolis launched its 311 system in 2003.
4075000,Tulsa city,OK,413651,2016,2016.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,Tulsa311 went live in November 2016 as the city's centralized non-emergency service request system.
0603526,Bakersfield city,CA,405280,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Bakersfield uses a direct non-emergency phone line (661-327-7111) and an online portal for service requests but does not operate a 311 system.
2079000,Wichita city,KS,398024,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Wichita operates a 311 system and app, but the launch year of the 311 service could not be verified from available sources."
4804000,Arlington city,TX,394248,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Arlington TX uses an Action Center (817-459-6777) for non-emergency requests and does not operate a 311 system.
1271000,Tampa city,FL,387924,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Tampa operates a 311 system (Tampa Connect CRM), but the launch year could not be confirmed from available sources."
0804000,Aurora city,CO,386773,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,"Aurora CO uses ""Access Aurora"" (303-739-7000) for non-emergency service requests and does not operate a 311 number."
2255000,New Orleans city,LA,383241,2012,2012.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Orleans Parish Communication District states NOLA-311 has been operational since March 2012; open data records also begin in 2012.
3916000,Cleveland city,OH,371806,2009,2009.0,year_found,not_adopted_by2012,0.0,conflict_fp,FP-conflict: search found year 2009 but O'Byrne (2012 survey) says not adopted. Verify source.,official,Cleveland launched its 311 system in 2009.
0602000,Anaheim city,CA,346658,2007,2007.0,year_found,adopted_by2012,1.0,adopted_year_verified,,news,"GovTech reported that Anaheim began live testing of its 311 hotline on June 4, 2007, as the phone component of the ""Anaheim Anytime"" initiative introduced by Mayor Curt Pringle at his 2006 State of the City Address."
2146027,Lexington-Fayette urban county,KY,322627,unknown,,unknown,adopted_by2012,1.0,adopted_year_unknown,,official,"Official LexingtonKY.gov page describes LexCall 311 as the city's centralized call center; indirect evidence (8,500 calls during 2009 ice storm) suggests service existed at least since 2000, but no confirmed launch year was found."
0675000,Stockton city,CA,320976,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Stockton uses an ""Ask Stockton"" service request system, but it is unclear whether a formal 311 number is operational and when it launched."
3231900,Henderson city,NV,319072,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Henderson NV routes non-emergency calls through 311, but the year the 311 number was activated could not be confirmed."
4817000,Corpus Christi city,TX,318065,2022,2022.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,Corpus Christi launched its 311 Call Center in June 2022.
0662000,Riverside city,CA,315067,2004,2004.0,year_found,adopted_by2012,1.0,adopted_year_verified,,news,"GovTech reported the Riverside centralized call center was created in 2004 using 826-5311 and had answered more than 250,000 questions since 2004; the short-dial 311 number was added circa 2007."
0669000,Santa Ana city,CA,311244,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Santa Ana uses direct non-emergency lines and the mySantaAna app for service requests but does not operate a 311 system.
2758000,St. Paul city,MN,311140,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"St. Paul operates a 311 service for non-emergency requests, but the launch year of the 311 number could not be confirmed from available sources."
3451000,Newark city,NJ,310645,2008,2008.0,year_found,adopted_by2012,1.0,adopted_year_verified,,news,Multiple sources confirm Newark launched its 4311 non-emergency consolidated call center in September 2008 under Mayor Cory Booker.
3915000,Cincinnati city,OH,309601,2022,2022.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,"WVXU reported September 12, 2022 that Cincinnati launched 311Cincy non-emergency service; Fix It Cincy app was rebranded 311 Cincy at the same time (note: O'Byrne 2015 flags Cincinnati as adopted by 2012, possibly reflecting an earlier informal service; Socrata shows 2016)."
0636770,Irvine city,CA,308411,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Irvine uses an online portal and Access Irvine app for service requests but does not operate a 311 phone number.
1253000,Orlando city,FL,307834,unknown,,unknown,unclear,,adopted_year_unknown,,official,"The City of Orlando has a 311 service distinct from Orange County's 311 (launched 2005), but Orlando's own 311 launch date could not be confirmed."
4261000,Pittsburgh city,PA,302779,2004,2004.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Pittsburgh launched its 311 system in 2004.
2965000,St. Louis city,MO,300496,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,St. Louis has a long-running Citizens Service Bureau for non-emergency requests; a formal 311 phone number launch year could not be confirmed.
3728000,Greensboro city,NC,296345,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,Greensboro has a Contact Center (336-373-CITY) for non-emergency requests but whether a formal 311 number is in use and its launch year could not be confirmed.
3436000,Jersey City city,NJ,291949,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Jersey City uses a Resident Response Center for non-emergency requests and does not appear to operate a 311 system.
3128000,Lincoln city,NE,291633,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Lincoln uses the UPLNK app (SeeClickFix-based) for service requests and does not operate a 311 phone number.
0203000,Anchorage municipality,AK,290893,2018,2018.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,Anchorage launched its 311 non-emergency police line in April 2018 under Mayor Berkowitz.
4858016,Plano city,TX,286408,2011,2011.0,year_found,not_adopted_by2012,0.0,conflict_fp,FP-conflict: search found year 2011 but O'Byrne (2012 survey) says not adopted. Verify source.,news,"""Fix It Plano"" citizen service app launched in July 2011, per NBC DFW and GovTech reporting."
3719000,Durham city,NC,284444,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,secondary,"Durham One Call 311 center is documented in an ICMA case study (~2009), but the exact launch year could not be confirmed from available sources."
3611000,Buffalo city,NY,277551,2000,2000.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,City of Buffalo's Open Data portal states the 311 Call and Resolution Center (formerly the Mayor's Complaint Line) was created in July 2000.
0412000,Chandler city,AZ,277345,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,Chandler has non-emergency service request channels but the specific 311 launch year could not be found in available sources.
0613392,Chula Vista city,CA,275809,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Chula Vista uses the ACT Chula Vista citizen service system for service requests, but no 311 launch year was found in available sources."
5548000,Madison city,WI,275204,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Madison was still exploring and planning a 311 system as of 2024; no formal 311 has been launched.
3977000,Toledo city,OH,270276,2015,2015.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,official,"""Engage Toledo"" launched in October 2015 as Toledo's 24/7 citizen service request platform."
0427400,Gilbert town,AZ,269173,2017,2017.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,official,"Gilbert partnered with SeeClickFix to launch ""Gilbert 311"" in May 2017."
3260600,Reno city,NV,264981,2018,2018.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,Washoe County (which serves Reno) launched Washoe311 in May 2018; Reno routes non-emergency requests through this county system.
1825000,Fort Wayne city,IN,264380,2007,2007.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,"City of Fort Wayne's official 10-year anniversary press release (May 2017) confirms the 311 Call Center launched in 2007 as the first such center in Indiana, having handled more than 1.5 million calls since inception."
3251800,North Las Vegas city,NV,261214,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,North Las Vegas uses its own non-emergency phone number (702-633-9111) and does not route through 311.
1263000,St. Petersburg city,FL,259266,2014,2014.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,secondary,"St. Petersburg launched a SeeClickFix 311 CRM tool in 2014, per a CivicPlus case study."
4845000,Lubbock city,TX,258013,2009,2009.0,year_found,adopted_by2012,1.0,adopted_year_verified,,news,"KCBD news article ""Lubbock Launches 311 Non-Emergency Call Line"" documents the 2009 launch; the 311 number received more than 100 calls in its first few hours of operation."
4837000,Irving city,TX,256807,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Irving operates a ""Report A Concern"" 311 portal on the Qscend platform, but the launch year could not be confirmed."
4841464,Laredo city,TX,255489,unknown,,unknown,unclear,,adopted_year_unknown,,official,"Laredo's 311 Call Center was operational by at least 2014 per open data records, but the exact launch year could not be confirmed."
3775000,Winston-Salem city,NC,249804,2007,2007.0,year_found,not_adopted_by2012,0.0,conflict_fp,FP-conflict: search found year 2007 but O'Byrne (2012 survey) says not adopted. Verify source.,news,Winston-Salem's CityLink 311 citizen service center began operations in 2007.
5116000,Chesapeake city,VA,249781,2017,2017.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,secondary,"Chesapeake's Public Safety Operations Center (PSOC), which houses the 311 Non-Emergency Call Center, was completed in December 2017."
0427820,Glendale city,AZ,248949,2019,2019.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,"GlendaleOne, the city's 311-style service request app, launched in December 2019."
4829000,Garland city,TX,246311,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Garland operates a 311 service line for non-emergency city services, but the launch year could not be confirmed from available sources."
0465000,Scottsdale city,AZ,241883,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Scottsdale does not operate a formal 311 number; it uses a constituent services line (480-312-3111) and the ScottsdaleEZ online portal.
5157000,Norfolk city,VA,237789,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Norfolk's ""Norfolk Cares Center"" is a 311-equivalent service; open data records show activity from November 2014 but the launch year could not be confirmed."
1608830,Boise City city,ID,236034,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,Boise uses SeeClickFix for citizen service requests but no formal 311 launch year was found in available sources.
0669088,Santa Clarita city,CA,232406,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Santa Clarita uses the GOGov Resident Service Center for issue reporting, but no 311 launch year was found in available sources."
0626000,Fremont city,CA,230430,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,Fremont uses the Fremont App (SeeClickFix-based) for service requests; no dedicated 311 number and no launch year found.
5367000,Spokane city,WA,229205,2017,2017.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,official,"Spokane launched ""My Spokane 311"" on February 10, 2017, per a city press release."
5167000,Richmond city,VA,226936,2007,2007.0,year_found,adopted_by2012,1.0,adopted_year_verified,,secondary,"A 2010 article about Richmond's 311 Customer Care Center stated the program launched ""three years ago"" under Mayor Wilder (2005-2009), placing the launch around 2007; Richmond was the first SeeClickFix city to route all 311 requests through that platform."
1230000,Hialeah city,FL,222408,no_311,,no_311,unclear,,not_adopted_unclear,,official,"Hialeah uses a Citizen Request Tracker (CRT), not a 311 number; Miami-Dade County 311 is a separate service."
0665000,San Bernardino city,CA,222090,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,No evidence of a formal 311 system for San Bernardino; city uses department-level non-emergency lines.
5370000,Tacoma city,WA,219719,2013,2013.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,TacomaFIRST 311 launched in fall 2013; the City Council recognized the 10th anniversary in October 2023.
0648354,Modesto city,CA,218691,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Modesto uses the ""GoModesto!"" service request system; no 311 launch year was found in available sources."
0137000,Huntsville city,AL,216407,2025,2025.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,Huntsville's 311 service completed its launch in February 2025.
1921000,Des Moines city,IA,213826,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,Des Moines uses a non-emergency dispatch line (515-283-4811) for service requests; no dedicated 311 system was found in available sources.
3684000,Yonkers city,NY,210994,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,news,Yonkers received a $400K federal grant for a 311 call center in 2009; the actual launch year of its 311 service could not be confirmed.
3663000,Rochester city,NY,210862,1999,1999.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Rochester NY launched its 311 system in 1999.
0624680,Fontana city,CA,209177,2022,2022.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,Fontana launched its Fontana 311 app in December 2022; the city's 311 website was unveiled in February 2023.
3722920,Fayetteville city,NC,209170,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,Fayetteville uses SeeClickFix (FayFixIt) for service requests; records show activity since 2015 but a formal 311 launch year could not be confirmed.
0649270,Moreno Valley city,CA,208868,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,Moreno Valley uses MoVal 24/7 (GoGov) for service requests; no prior formal 311 launch year was found in available sources.
1319000,Columbus city,GA,207006,2008,2008.0,year_found,adopted_by2012,1.0,adopted_year_verified,,secondary,"An ICMA report on the Columbus, GA 311 Citizen Service Center is dated December 31, 2008 documenting active service with detailed statistics; exact launch year not stated but service was running no later than 2008."
1258715,Port St. Lucie city,FL,206815,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,"Port St. Lucie uses the ""1PSL"" citizen service system for non-emergency requests and does not operate a 311 number."
2582000,Worcester city,MA,205056,2022,2022.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,"Worcester launched its 311 municipal hotline in May 2022, per Worcester Patch reporting."
4827684,Frisco city,TX,202754,unknown,,unknown,not_in_obyrne,,adopted_year_unknown,,official,Frisco has a citizen service request portal but no dedicated 311 system or verifiable launch year was found in available sources.
0541000,Little Rock city,AR,202634,2004,2004.0,year_found,adopted_by2012,1.0,adopted_year_verified,,news,"KARK reported in March 2024 that Little Rock 311 City Services was ""celebrating two decades of service,"" placing the launch around 2004; city sources also confirm the 311 system was part of the 2004 Bond Project (note: Socrata lower bound of 2018 reflects dataset publication date, not launch)."
0654652,Oxnard city,CA,201911,2016,2016.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,"Oxnard launched its 311 service in May 2016, per Tri-County Sentry reporting."
4967000,Salt Lake City city,UT,200660,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,secondary,Salt Lake City had a 311 system referenced in Route Fifty as of 2011; the exact launch year could not be confirmed from available sources.
4803000,Amarillo city,TX,200526,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Amarillo planned a 311 app rollout for October 2016, but no confirmed live launch date was found in available sources."
0107000,Birmingham city,AL,200375,1999,1999.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,Birmingham AL launched its 311 system in 1999.
0151000,Montgomery city,AL,200041,unknown,,unknown,adopted_by2012,1.0,adopted_year_unknown,,official,City of Montgomery's official website confirms 311 service exists for non-emergency city services but no source specifies the original launch year.
2634000,Grand Rapids city,MI,198707,2013,2013.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,"GR311 went live on October 1, 2013, per Rapid Growth Media reporting."
0636000,Huntington Beach city,CA,198405,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Huntington Beach uses a direct non-emergency police number for non-emergency service requests; no 311 system was found.
1270600,Tallahassee city,FL,197933,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Tallahassee uses the DigiTally app and a direct CDA non-emergency number for service requests; no 311 system was found.
2053775,Overland Park city,KS,197734,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,"Overland Park has the OPCares citizen service portal, but no specific launch year was found in available sources."
4845744,McKinney city,TX,197497,unknown,,unknown,not_in_obyrne,,adopted_year_unknown,,official,No evidence of a formal dedicated 311 system was found for McKinney; city uses departmental contacts for non-emergency service requests.
4830464,Grand Prairie city,TX,196255,2022,2022.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,official,"Grand Prairie launched its 311 service on April 19, 2022, per a city press release."
0630000,Glendale city,CA,195934,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,"Glendale CA uses a direct ""City Service Line"" (818-550-4400) for non-emergency requests; no 311 number or system was found."
1210275,Cape Coral city,FL,195422,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,official,Cape Coral has a 311 call center with a software update in 2022; the original launch year could not be confirmed.
4659020,Sioux Falls city,SD,193437,2019,2019.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,official,"Sioux Falls launched the OneLink 311 mobile app in 2019, celebrating its first anniversary in March 2020."
0454050,Peoria city,AZ,191997,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Peoria AZ uses MyPeoriaAZ app and a direct non-emergency number for service requests; no 311 system was found.
4740000,Knoxville city,TN,191446,2005,2005.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,"City of Knoxville's official 311 page confirms the service launched in May 2005, operated by the Center for Service Innovation, and was the eighth 311 system to go live in the nation."
5374060,Vancouver city,WA,191278,2015,2015.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,"CRESA soft-launched the 311 non-emergency service for Vancouver WA in September 2015, per The Columbian."
4459000,Providence city,RI,190745,2017,2017.0,year_found,adopted_by2012,1.0,adopted_year_verified,,official,City of Providence official press release documents Mayor Elorza launching the 3-1-1 hotline and PVD311 mobile app through the Mayor's Center for City Services in 2017.
3901000,Akron city,OH,190146,2017,2017.0,year_found,adopted_by2012,1.0,adopted_year_verified,,news,"Signal Akron reports Akron's 311 phone hotline and website launched in 2017; MyAkron311 mobile app was added in January 2024 (note: O'Byrne 2015 flags Akron as adopted by 2012, possibly reflecting a predecessor call-center service)."
4810768,Brownsville city,TX,187004,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Brownsville operates a 546-HELP non-emergency line instead of 311 for non-emergency service requests.
2270000,Shreveport city,LA,186848,unknown,,unknown,not_adopted_by2012,0.0,adopted_year_unknown,,news,"Shreveport has a 311 service; a ""Port City 311"" app launched in October 2024, but the original 311 launch year could not be confirmed."
0150000,Mobile city,AL,186621,unknown,,unknown,adopted_by2012,1.0,adopted_year_unknown,,official,"City of Mobile official 311 page confirms the service exists but does not state a launch year; a November 2011 GCN article references adding a mobile app to Mobile's existing 311 system, suggesting launch was at or before 2011."
5156000,Newport News city,VA,186047,2013,2013.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,"Newport News 311 Contact Center opened in March 2013, per the Oyster Pointer."
0473000,Tempe city,AZ,185328,2012,2012.0,year_found,not_adopted_by2012,0.0,conflict_fp,FP-conflict: search found year 2012 but O'Byrne (2012 survey) says not adopted. Verify source.,news,Tempe 311 is described as an existing service by a June 2012 news article; the mobile app launched in 2013.
1224000,Fort Lauderdale city,FL,182892,unknown,,unknown,unclear,,adopted_year_unknown,,official,Fort Lauderdale uses the LauderServ/311 portal for non-emergency service requests; no original launch year was found.
4714000,Chattanooga city,TN,181568,2003,2003.0,year_found,adopted_by2012,1.0,adopted_year_verified,,news,"Chattanooga Times Free Press reports that Chattanooga launched its 311 Service Center on February 6, 2003, making it one of the first mid-size US cities to implement a ""One Call to City Hall"" program."
1703012,Aurora city,IL,180215,2025,2025.0,year_found,not_adopted_by2012,0.0,adopted_year_verified,,news,"Aurora IL officially launched myAurora 311 on March 11, 2025, per Shaw Local reporting."
0670098,Santa Rosa city,CA,177959,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Santa Rosa uses direct department phone numbers and a citizen permit portal for service requests; no 311 system was found.
4123850,Eugene city,OR,177428,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Eugene uses a non-emergency phone number (541-682-5111) for service requests and does not operate a 311 system.
0622020,Elk Grove city,CA,176569,unknown,,unknown,not_in_obyrne,,adopted_year_unknown,,official,Elk Grove uses SeeClickFix for citizen issue reporting; no specific launch year was found.
4164900,Salem city,OR,175942,no_311,,no_311,not_adopted_by2012,0.0,not_adopted,,official,Salem OR uses a non-emergency phone number (503-588-6123) and online reporting; no 311 system was found.
