GEOID,place_name,state_abbr,pop_2020,adoption_year_raw,year_found,source_url,source_type,evidence_note,match_type
1235000,Jacksonville city,FL,951880,unknown,,https://www.coj.net/311,official,"Jacksonville has a 311 service (MyJax portal launched 2019), but the original 311 launch date could not be verified from available sources.",exact
4827000,Fort Worth city,TX,923602,2024,2024.0,https://www.fortworthtexas.gov/311,news,Fort Worth rolled out its 311 non-emergency service number in May 2024.,exact
3918000,Columbus city,OH,906418,2003,2003.0,https://www.columbus.gov/311/,official,Columbus 311 launched in 2003.,exact
3712000,Charlotte city,NC,875752,2005,2005.0,https://charlottenc.gov/Services/Pages/311.aspx,official,Charlotte launched its 311 system in 2005.,exact
0667000,San Francisco city,CA,870518,2007,2007.0,https://sf311.org/,official,San Francisco SF311 launched in 2007.,exact
5363000,Seattle city,WA,740565,unknown,,https://www.seattle.gov/customer-service-bureau,official,"Seattle operates a Customer Service Bureau (established 1965) and routes calls through 311, but the specific year the 311 number was activated could not be confirmed.",exact
0820000,Denver city,CO,717606,2006,2006.0,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/311-Denver-311,official,Denver 311 launched in 2006.,exact
4055000,Oklahoma City city,OK,683078,unknown,,https://www.okc.gov/residents/action-center,official,"Oklahoma City operates an Action Center for non-emergency service requests with 311 routing, but the launch year of the 311 number could not be verified.",exact
4824000,El Paso city,TX,679255,2011,2011.0,https://www.elpasotexas.gov/311,news,EP311 launched in 2011 as El Paso's non-emergency citizen service center.,exact
2507000,Boston city,MA,675466,2009,2009.0,https://www.boston.gov/departments/311,official,Boston launched its 311 system (BOS:311) in 2009.,exact
4159000,Portland city,OR,653344,2021,2021.0,https://www.portland.gov/311,official,"PDX 311 launched in fiscal year 2020-21, consolidating city service request channels into a single 311 system.",exact
3240000,Las Vegas city,NV,646794,2000,2000.0,https://lasvegassun.com/,news,"Las Vegas Sun reported the city's 311 system went active on October 30, 2000.",exact
2622000,Detroit city,MI,638300,2005,2005.0,https://www.govtech.com/archive/detroit-pulls-plug-on-311-call-center.html,news,"GovTech reports Detroit's ""One Call to City Hall"" 311 call center launched in 2005 and handled 400+ service types; closed June 30, 2012 as a cost-savings measure.",exact
4748000,Memphis city,TN,635225,2013,2013.0,https://www.memphistn.gov/311,news,Memphis launched its 311 call center and associated app in 2013.,exact
2404000,Baltimore city,MD,583157,1996,1996.0,https://baltimore.gov/311/,official,Baltimore launched the first 311 system in the US in October 1996.,exact
5553000,Milwaukee city,WI,577207,2012,2012.0,https://city.milwaukee.gov/Milwaukee311,news,Milwaukee established its Unified Call Center / 311 system in 2012.,exact
3502000,Albuquerque city,NM,564888,2005,2005.0,https://www.cabq.gov/311,official,Albuquerque launched its 311 system in 2005.,exact
0627000,Fresno city,CA,542710,2019,2019.0,https://www.fresno.gov/311,news,Fresno formally launched its 311 system in 2019; an earlier One Call Center had operated since 2006 but was not branded 311.,exact
0477000,Tucson city,AZ,542638,2023,2023.0,https://www.tucsonaz.gov/311,news,Tucson launched its 311 non-emergency number in early 2023.,exact
0664000,Sacramento city,CA,525528,2008,2008.0,https://www.esri.com/about/newsroom/blog/sacrament-311-system-spatial-integration,secondary,"Esri case study states Sacramento's 311 launched in 2008 and logs approximately 500,000 interactions per year.",exact
2938000,Kansas City city,MO,508220,2007,2007.0,https://www.kcmo.gov/city-hall/departments/311-call-center,official,Kansas City MO launched its 311 system in 2007.,exact
0446000,Mesa city,AZ,505890,unknown,,https://www.mesaaz.gov/Activities-Culture/Parks-Recreation-and-Community-Facilities/News/Mesa-CityLink,official,"Mesa uses ""Mesa CityLink"" (CitySourced platform) for non-emergency requests; no source specifies launch year; Socrata data starts 2017 and CityLink app suggests mid-2010s, but exact year unconfirmed.",exact
1304000,Atlanta city,GA,499896,2014,2014.0,https://www.atlantaga.gov/311,news,"ATL311 officially opened on October 22, 2014 as Atlanta's centralized non-emergency service request system.",exact
3137000,Omaha city,NE,492758,no_311,,https://www.cityofomaha.org/contact-us,official,Omaha uses the Mayor's Hotline (402-444-5555) for non-emergency service requests and does not operate a 311 system.,exact
0816000,Colorado Springs city,CO,480331,no_311,,https://coloradosprings.gov/contact-us,official,Colorado Springs uses a direct non-emergency line (719-444-7000) and does not operate a 311 system.,exact
0643000,Long Beach city,CA,465585,unknown,,https://longbeach.gov/lbbetter,official,"Long Beach uses the ""LB Better"" (formerly ""Go Long Beach"") service request app but a formal 311 phone launch date could not be confirmed.",exact
3755000,Raleigh city,NC,465354,2011,2011.0,https://raleighnc.gov/raleigh-311,news,Raleigh launched SeeClickFix-based 311 in 2011; the service was later replaced by the Ask Raleigh platform in 2025.,exact
5182000,Virginia Beach city,VA,459684,2006,2006.0,https://www.vbgov.com/government/departments/communications-information-technology/vbgov.com/Pages/311.aspx,official,Virginia Beach launched its 311 system in 2006.,exact
1245000,Miami city,FL,442827,2004,2004.0,https://www.miamidade.gov/311,news,"Miami-Dade 311 has been operational since 2004, serving the City of Miami and surrounding county municipalities.",exact
0653000,Oakland city,CA,440943,2018,2018.0,https://oaklandnorth.net/2018/04/26/oakland-launches-oak-311-for-residents-to-report-immediate-maintenance-problems/,news,"Oakland North reports Oakland officially launched the unified OAK 311 system (phone, website, app) in April 2018; prior service used SeeClickFix without unified 311 branding (note: O'Byrne 2015 flags Oakland as adopted by 2012, possibly counting earlier call-center service).",exact
2743000,Minneapolis city,MN,430710,2003,2003.0,https://www.minneapolismn.gov/311/,official,Minneapolis launched its 311 system in 2003.,exact
4075000,Tulsa city,OK,413651,2016,2016.0,https://www.cityoftulsa.org/311,news,Tulsa311 went live in November 2016 as the city's centralized non-emergency service request system.,exact
0603526,Bakersfield city,CA,405280,no_311,,https://www.bakersfieldcity.us/,official,Bakersfield uses a direct non-emergency phone line (661-327-7111) and an online portal for service requests but does not operate a 311 system.,exact
2079000,Wichita city,KS,398024,unknown,,https://www.wichita.gov/311,official,"Wichita operates a 311 system and app, but the launch year of the 311 service could not be verified from available sources.",exact
4804000,Arlington city,TX,394248,no_311,,https://www.arlingtontx.gov/city_hall/departments/office_of_communications/action_center,official,Arlington TX uses an Action Center (817-459-6777) for non-emergency requests and does not operate a 311 system.,exact
1271000,Tampa city,FL,387924,unknown,,https://www.tampa.gov/311,official,"Tampa operates a 311 system (Tampa Connect CRM), but the launch year could not be confirmed from available sources.",exact
0804000,Aurora city,CO,386773,no_311,,https://www.auroragov.org/residents/access_aurora,official,"Aurora CO uses ""Access Aurora"" (303-739-7000) for non-emergency service requests and does not operate a 311 number.",exact
2255000,New Orleans city,LA,383241,2012,2012.0,https://www.opcdla.gov/services/nola-311/,official,Orleans Parish Communication District states NOLA-311 has been operational since March 2012; open data records also begin in 2012.,exact
3916000,Cleveland city,OH,371806,2009,2009.0,https://www.clevelandohio.gov/CityofCleveland/Home/Government/CityAgencies/PublicWorksandRecreation/311,official,Cleveland launched its 311 system in 2009.,exact
0602000,Anaheim city,CA,346658,2007,2007.0,https://www.govtech.com/dc/articles/Anaheim-Launches-311-Customer-Service-Hotline.html,news,"GovTech reported that Anaheim began live testing of its 311 hotline on June 4, 2007, as the phone component of the ""Anaheim Anytime"" initiative introduced by Mayor Curt Pringle at his 2006 State of the City Address.",exact
2146027,Lexington-Fayette urban county,KY,322627,unknown,,https://www.lexingtonky.gov/living/lexcall-311,official,"Official LexingtonKY.gov page describes LexCall 311 as the city's centralized call center; indirect evidence (8,500 calls during 2009 ice storm) suggests service existed at least since 2000, but no confirmed launch year was found.",exact
0675000,Stockton city,CA,320976,unknown,,https://www.stocktonca.gov/311,official,"Stockton uses an ""Ask Stockton"" service request system, but it is unclear whether a formal 311 number is operational and when it launched.",exact
3231900,Henderson city,NV,319072,unknown,,https://www.hendersonlive.com/311,official,"Henderson NV routes non-emergency calls through 311, but the year the 311 number was activated could not be confirmed.",exact
4817000,Corpus Christi city,TX,318065,2022,2022.0,https://www.cctexas.com/311,news,Corpus Christi launched its 311 Call Center in June 2022.,exact
0662000,Riverside city,CA,315067,2004,2004.0,https://www.govtech.com/health/riverside-calif-introduces-311-phone-and.html,news,"GovTech reported the Riverside centralized call center was created in 2004 using 826-5311 and had answered more than 250,000 questions since 2004; the short-dial 311 number was added circa 2007.",exact
0669000,Santa Ana city,CA,311244,no_311,,https://www.santa-ana.org/contact,official,Santa Ana uses direct non-emergency lines and the mySantaAna app for service requests but does not operate a 311 system.,exact
2758000,St. Paul city,MN,311140,unknown,,https://www.stpaul.gov/311,official,"St. Paul operates a 311 service for non-emergency requests, but the launch year of the 311 number could not be confirmed from available sources.",exact
3451000,Newark city,NJ,310645,2008,2008.0,https://thenewarktimes.com/baraka-administration-announces-overhaul-4311-non-emergency-response-center/,news,Multiple sources confirm Newark launched its 4311 non-emergency consolidated call center in September 2008 under Mayor Cory Booker.,exact
3915000,Cincinnati city,OH,309601,2022,2022.0,https://www.wvxu.org/local-news/2022-09-12/cincinnati-launches-311-non-emergency-line,news,"WVXU reported September 12, 2022 that Cincinnati launched 311Cincy non-emergency service; Fix It Cincy app was rebranded 311 Cincy at the same time (note: O'Byrne 2015 flags Cincinnati as adopted by 2012, possibly reflecting an earlier informal service; Socrata shows 2016).",exact
0636770,Irvine city,CA,308411,no_311,,https://www.cityofirvine.org/public-works/report-issue,official,Irvine uses an online portal and Access Irvine app for service requests but does not operate a 311 phone number.,exact
1253000,Orlando city,FL,307834,unknown,,https://www.orlando.gov/311,official,"The City of Orlando has a 311 service distinct from Orange County's 311 (launched 2005), but Orlando's own 311 launch date could not be confirmed.",exact
4261000,Pittsburgh city,PA,302779,2004,2004.0,https://pittsburghpa.gov/311/,official,Pittsburgh launched its 311 system in 2004.,exact
2965000,St. Louis city,MO,300496,unknown,,https://www.stlouis-mo.gov/government/departments/street/citizens-service-bureau/,official,St. Louis has a long-running Citizens Service Bureau for non-emergency requests; a formal 311 phone number launch year could not be confirmed.,exact
3728000,Greensboro city,NC,296345,unknown,,https://www.greensboro-nc.gov/departments/city-manager-s-office/contact-center,official,Greensboro has a Contact Center (336-373-CITY) for non-emergency requests but whether a formal 311 number is in use and its launch year could not be confirmed.,exact
3436000,Jersey City city,NJ,291949,no_311,,https://www.jerseycitynj.gov/contact,official,Jersey City uses a Resident Response Center for non-emergency requests and does not appear to operate a 311 system.,exact
3128000,Lincoln city,NE,291633,no_311,,https://lincoln.ne.gov/city/uplnk,official,Lincoln uses the UPLNK app (SeeClickFix-based) for service requests and does not operate a 311 phone number.,exact
0203000,Anchorage municipality,AK,290893,2018,2018.0,https://www.adn.com/alaska-news/anchorage/2018/04/15/anchorage-launches-311-line-to-make-it-easier-to-contact-police-in-a-non-emergency/,news,Anchorage launched its 311 non-emergency police line in April 2018 under Mayor Berkowitz.,exact
4858016,Plano city,TX,286408,2011,2011.0,https://www.nbcdfw.com/news/local/fix-it-plano-app-allows-residents-to-report-problems/1984256/,news,"""Fix It Plano"" citizen service app launched in July 2011, per NBC DFW and GovTech reporting.",exact
3719000,Durham city,NC,284444,unknown,,https://icma.org/documents/durham-one-call-center,secondary,"Durham One Call 311 center is documented in an ICMA case study (~2009), but the exact launch year could not be confirmed from available sources.",exact
3611000,Buffalo city,NY,277551,2000,2000.0,https://data.buffalony.gov/stories/s/311-Call-and-Resolution-Center/k7b6-fw5y/,official,City of Buffalo's Open Data portal states the 311 Call and Resolution Center (formerly the Mayor's Complaint Line) was created in July 2000.,exact
0412000,Chandler city,AZ,277345,unknown,,https://www.chandleraz.gov/services,official,Chandler has non-emergency service request channels but the specific 311 launch year could not be found in available sources.,exact
0613392,Chula Vista city,CA,275809,unknown,,https://www.chulavistaca.gov/departments/public-works,official,"Chula Vista uses the ACT Chula Vista citizen service system for service requests, but no 311 launch year was found in available sources.",exact
5548000,Madison city,WI,275204,no_311,,https://www.cityofmadison.com/mayor/initiatives/311,official,Madison was still exploring and planning a 311 system as of 2024; no formal 311 has been launched.,exact
3977000,Toledo city,OH,270276,2015,2015.0,https://toledo.oh.gov/engage-toledo,official,"""Engage Toledo"" launched in October 2015 as Toledo's 24/7 citizen service request platform.",exact
0427400,Gilbert town,AZ,269173,2017,2017.0,https://www.gilbertaz.gov/government/gilbert-311,official,"Gilbert partnered with SeeClickFix to launch ""Gilbert 311"" in May 2017.",exact
3260600,Reno city,NV,264981,2018,2018.0,https://www.washoecounty.gov/311/,news,Washoe County (which serves Reno) launched Washoe311 in May 2018; Reno routes non-emergency requests through this county system.,exact
1825000,Fort Wayne city,IN,264380,2007,2007.0,https://www.cityoffortwayne.org/latest-news/3753-city-celebrate-311-call-center-s-10-years-of-service.html,official,"City of Fort Wayne's official 10-year anniversary press release (May 2017) confirms the 311 Call Center launched in 2007 as the first such center in Indiana, having handled more than 1.5 million calls since inception.",exact
3251800,North Las Vegas city,NV,261214,no_311,,https://www.cityofnorthlasvegas.com/contact,official,North Las Vegas uses its own non-emergency phone number (702-633-9111) and does not route through 311.,exact
1263000,St. Petersburg city,FL,259266,2014,2014.0,https://www.civicplus.com/case-studies/crm/st-pete-plans-for-active-hurricane-season-taps-residents-for-help/,secondary,"St. Petersburg launched a SeeClickFix 311 CRM tool in 2014, per a CivicPlus case study.",exact
4845000,Lubbock city,TX,258013,2009,2009.0,https://www.kcbd.com/story/9674985/lubbock-launches-311-non-emergency-call-line/,news,"KCBD news article ""Lubbock Launches 311 Non-Emergency Call Line"" documents the 2009 launch; the 311 number received more than 100 calls in its first few hours of operation.",exact
4837000,Irving city,TX,256807,unknown,,https://irvingtx.qscend.com/311/,official,"Irving operates a ""Report A Concern"" 311 portal on the Qscend platform, but the launch year could not be confirmed.",exact
4841464,Laredo city,TX,255489,unknown,,https://www.cityoflaredo.com/311/,official,"Laredo's 311 Call Center was operational by at least 2014 per open data records, but the exact launch year could not be confirmed.",exact
3775000,Winston-Salem city,NC,249804,2007,2007.0,https://wstoday.6amcity.com/using-citylink-311,news,Winston-Salem's CityLink 311 citizen service center began operations in 2007.,exact
5116000,Chesapeake city,VA,249781,2017,2017.0,https://www.cinemassive.com/case-studies/city-of-chesapeake-public-safety-operations-center/,secondary,"Chesapeake's Public Safety Operations Center (PSOC), which houses the 311 Non-Emergency Call Center, was completed in December 2017.",exact
0427820,Glendale city,AZ,248949,2019,2019.0,https://www.glendalestar.com/news/article_d0fefa90-51a3-11ea-a7e1-6f869782432e.html,news,"GlendaleOne, the city's 311-style service request app, launched in December 2019.",exact
4829000,Garland city,TX,246311,unknown,,https://www.garlandtx.gov/311,official,"Garland operates a 311 service line for non-emergency city services, but the launch year could not be confirmed from available sources.",exact
0465000,Scottsdale city,AZ,241883,no_311,,https://www.scottsdaleaz.gov/ez,official,Scottsdale does not operate a formal 311 number; it uses a constituent services line (480-312-3111) and the ScottsdaleEZ online portal.,exact
5157000,Norfolk city,VA,237789,unknown,,https://www.norfolk.gov/311,official,"Norfolk's ""Norfolk Cares Center"" is a 311-equivalent service; open data records show activity from November 2014 but the launch year could not be confirmed.",exact
1608830,Boise City city,ID,236034,unknown,,https://www.cityofboise.org/departments/public-works/report-an-issue/,official,Boise uses SeeClickFix for citizen service requests but no formal 311 launch year was found in available sources.,exact
0669088,Santa Clarita city,CA,232406,unknown,,https://www.santa-clarita.com/report,official,"Santa Clarita uses the GOGov Resident Service Center for issue reporting, but no 311 launch year was found in available sources.",exact
0626000,Fremont city,CA,230430,unknown,,https://www.fremont.gov/government/departments/public-works/fremont-app,official,Fremont uses the Fremont App (SeeClickFix-based) for service requests; no dedicated 311 number and no launch year found.,exact
5367000,Spokane city,WA,229205,2017,2017.0,https://my.spokanecity.org/news/stories/2017/02/10/city-of-spokane-launches-my-spokane-311/,official,"Spokane launched ""My Spokane 311"" on February 10, 2017, per a city press release.",exact
5167000,Richmond city,VA,226936,2007,2007.0,http://seeclickfix.blogspot.com/2010/08/richmond-va-311-posting-all-service.html,secondary,"A 2010 article about Richmond's 311 Customer Care Center stated the program launched ""three years ago"" under Mayor Wilder (2005-2009), placing the launch around 2007; Richmond was the first SeeClickFix city to route all 311 requests through that platform.",exact
1230000,Hialeah city,FL,222408,no_311,,https://www.hialeahfl.gov/citizens,official,"Hialeah uses a Citizen Request Tracker (CRT), not a 311 number; Miami-Dade County 311 is a separate service.",exact
0665000,San Bernardino city,CA,222090,unknown,,https://www.sbcity.org/city_hall/departments/public_works,official,No evidence of a formal 311 system for San Bernardino; city uses department-level non-emergency lines.,exact
5370000,Tacoma city,WA,219719,2013,2013.0,https://thesubtimes.com/2023/10/20/city-council-recognizes-10-year-anniversary-of-tacoma-first-311-customer-support-center/,news,TacomaFIRST 311 launched in fall 2013; the City Council recognized the 10th anniversary in October 2023.,exact
0648354,Modesto city,CA,218691,unknown,,https://www.modestogov.com/311,official,"Modesto uses the ""GoModesto!"" service request system; no 311 launch year was found in available sources.",exact
0137000,Huntsville city,AL,216407,2025,2025.0,https://www.itemonline.com/news/311-service-from-city-completes-launch/article_7c11e480-eeeb-11ef-a133-4f0187c0df09.html,news,Huntsville's 311 service completed its launch in February 2025.,exact
1921000,Des Moines city,IA,213826,unknown,,https://www.dmgov.org/government/cityoffices/publicworks/pages/report.aspx,official,Des Moines uses a non-emergency dispatch line (515-283-4811) for service requests; no dedicated 311 system was found in available sources.,exact
3684000,Yonkers city,NY,210994,unknown,,https://www.yonkersny.gov/311,news,Yonkers received a $400K federal grant for a 311 call center in 2009; the actual launch year of its 311 service could not be confirmed.,exact
3663000,Rochester city,NY,210862,1999,1999.0,https://www.cityofrochester.gov/311/,official,Rochester NY launched its 311 system in 1999.,exact
0624680,Fontana city,CA,209177,2022,2022.0,https://www.fontanaheraldnews.com/news/city-unveils-its-new-fontana-311-customer-service-website/article_68df5b72-afd2-11ed-bb39-fb97262bc107.html,news,Fontana launched its Fontana 311 app in December 2022; the city's 311 website was unveiled in February 2023.,exact
3722920,Fayetteville city,NC,209170,unknown,,https://www.fayettevillenc.gov/citizens/fayfixit,official,Fayetteville uses SeeClickFix (FayFixIt) for service requests; records show activity since 2015 but a formal 311 launch year could not be confirmed.,exact
0649270,Moreno Valley city,CA,208868,unknown,,https://www.morenovalleyca.gov/city-hall/departments-divisions/public-works/report-a-concern,official,Moreno Valley uses MoVal 24/7 (GoGov) for service requests; no prior formal 311 launch year was found in available sources.,exact
1319000,Columbus city,GA,207006,2008,2008.0,https://icma.org/documents/city-columbus-ga-311-report,secondary,"An ICMA report on the Columbus, GA 311 Citizen Service Center is dated December 31, 2008 documenting active service with detailed statistics; exact launch year not stated but service was running no later than 2008.",exact
1258715,Port St. Lucie city,FL,206815,no_311,,https://www.cityofpsl.com/1psl,official,"Port St. Lucie uses the ""1PSL"" citizen service system for non-emergency requests and does not operate a 311 number.",exact
2582000,Worcester city,MA,205056,2022,2022.0,https://patch.com/massachusetts/worcester/worcester-start-311-municipal-hotline-nuisance-calls,news,"Worcester launched its 311 municipal hotline in May 2022, per Worcester Patch reporting.",exact
4827684,Frisco city,TX,202754,unknown,,https://www.friscotexas.gov/311,official,Frisco has a citizen service request portal but no dedicated 311 system or verifiable launch year was found in available sources.,exact
0541000,Little Rock city,AR,202634,2004,2004.0,https://www.kark.com/news/local-news/311-city-services-celebrates-two-decades-of-service-to-little-rock-residents/,news,"KARK reported in March 2024 that Little Rock 311 City Services was ""celebrating two decades of service,"" placing the launch around 2004; city sources also confirm the 311 system was part of the 2004 Bond Project (note: Socrata lower bound of 2018 reflects dataset publication date, not launch).",exact
0654652,Oxnard city,CA,201911,2016,2016.0,https://www.tricountysentry.com/articles/oxnard-311-continues-its-service/,news,"Oxnard launched its 311 service in May 2016, per Tri-County Sentry reporting.",exact
4967000,Salt Lake City city,UT,200660,unknown,,https://www.route-fifty.com/management/2011/08/311-app-streamlines-service-requests-in-salt-lake-city/282409/,secondary,Salt Lake City had a 311 system referenced in Route Fifty as of 2011; the exact launch year could not be confirmed from available sources.,exact
4803000,Amarillo city,TX,200526,unknown,,https://www.amarillo.gov/departments/public-works,official,"Amarillo planned a 311 app rollout for October 2016, but no confirmed live launch date was found in available sources.",exact
0107000,Birmingham city,AL,200375,1999,1999.0,https://www.birminghamal.gov/311/,official,Birmingham AL launched its 311 system in 1999.,exact
0151000,Montgomery city,AL,200041,unknown,,https://www.montgomeryal.gov/residents/report-an-issue,official,City of Montgomery's official website confirms 311 service exists for non-emergency city services but no source specifies the original launch year.,exact
2634000,Grand Rapids city,MI,198707,2013,2013.0,https://rapidgrowthmedia.com/120816-grand-rapids-311/,news,"GR311 went live on October 1, 2013, per Rapid Growth Media reporting.",exact
0636000,Huntington Beach city,CA,198405,no_311,,https://www.huntingtonbeachca.gov/government/departments/police/,official,Huntington Beach uses a direct non-emergency police number for non-emergency service requests; no 311 system was found.,exact
1270600,Tallahassee city,FL,197933,no_311,,https://www.talgov.com/residents/residents.aspx,official,Tallahassee uses the DigiTally app and a direct CDA non-emergency number for service requests; no 311 system was found.,exact
2053775,Overland Park city,KS,197734,unknown,,https://www.opkansas.org/services/op-cares/,official,"Overland Park has the OPCares citizen service portal, but no specific launch year was found in available sources.",exact
4845744,McKinney city,TX,197497,unknown,,https://www.mckinneytexas.org/services,official,No evidence of a formal dedicated 311 system was found for McKinney; city uses departmental contacts for non-emergency service requests.,exact
4830464,Grand Prairie city,TX,196255,2022,2022.0,https://cityofgp.com/culture-community/news-events/news/other/city-launches-311-service-april-19,official,"Grand Prairie launched its 311 service on April 19, 2022, per a city press release.",exact
0630000,Glendale city,CA,195934,no_311,,https://www.glendaleca.gov/government/departments/community-services-and-parks,official,"Glendale CA uses a direct ""City Service Line"" (818-550-4400) for non-emergency requests; no 311 number or system was found.",exact
1210275,Cape Coral city,FL,195422,unknown,,https://www.capecoral.gov/department/information_technology/citizen_services.php,official,Cape Coral has a 311 call center with a software update in 2022; the original launch year could not be confirmed.,exact
4659020,Sioux Falls city,SD,193437,2019,2019.0,https://siouxfalls.org/news/2020/03/11/onelink-bday,official,"Sioux Falls launched the OneLink 311 mobile app in 2019, celebrating its first anniversary in March 2020.",exact
0454050,Peoria city,AZ,191997,no_311,,https://www.peoriaaz.gov/residents/utilities,official,Peoria AZ uses MyPeoriaAZ app and a direct non-emergency number for service requests; no 311 system was found.,exact
4740000,Knoxville city,TN,191446,2005,2005.0,https://www.knoxvilletn.gov/government/city_departments_offices/311/about_311_and_211,official,"City of Knoxville's official 311 page confirms the service launched in May 2005, operated by the Center for Service Innovation, and was the eighth 311 system to go live in the nation.",exact
5374060,Vancouver city,WA,191278,2015,2015.0,https://www.columbian.com/news/2015/sep/21/no-emergency-you-can-call-311/,news,"CRESA soft-launched the 311 non-emergency service for Vancouver WA in September 2015, per The Columbian.",exact
4459000,Providence city,RI,190745,2017,2017.0,https://www.providenceri.gov/mayor-elorza-launches-3-1-1-hotline-mobile-app-service-requests/,official,City of Providence official press release documents Mayor Elorza launching the 3-1-1 hotline and PVD311 mobile app through the Mayor's Center for City Services in 2017.,exact
3901000,Akron city,OH,190146,2017,2017.0,https://signalakron.org/311-app-hotline-give-akron-residents-direct-path-to-request-city-services/,news,"Signal Akron reports Akron's 311 phone hotline and website launched in 2017; MyAkron311 mobile app was added in January 2024 (note: O'Byrne 2015 flags Akron as adopted by 2012, possibly reflecting a predecessor call-center service).",exact
4810768,Brownsville city,TX,187004,no_311,,https://www.cob.us/index.aspx,official,Brownsville operates a 546-HELP non-emergency line instead of 311 for non-emergency service requests.,exact
2270000,Shreveport city,LA,186848,unknown,,https://www.ksla.com/2024/10/15/shreveport-launch-new-resource-app-port-city-311/,news,"Shreveport has a 311 service; a ""Port City 311"" app launched in October 2024, but the original 311 launch year could not be confirmed.",exact
0150000,Mobile city,AL,186621,unknown,,https://www.cityofmobile.org/departments/city-of-mobile-311/,official,"City of Mobile official 311 page confirms the service exists but does not state a launch year; a November 2011 GCN article references adding a mobile app to Mobile's existing 311 system, suggesting launch was at or before 2011.",exact
5156000,Newport News city,VA,186047,2013,2013.0,https://oysterpointer.net/newport-news-311-an-asset-to-the-city/,news,"Newport News 311 Contact Center opened in March 2013, per the Oyster Pointer.",exact
0473000,Tempe city,AZ,185328,2012,2012.0,https://www.wranglernews.com/2012/06/16/tempe-311-one-stop-city-services/,news,Tempe 311 is described as an existing service by a June 2012 news article; the mobile app launched in 2013.,exact
1224000,Fort Lauderdale city,FL,182892,unknown,,https://www.fortlauderdale.gov/departments/public-works/lauderserv-311,official,Fort Lauderdale uses the LauderServ/311 portal for non-emergency service requests; no original launch year was found.,exact
4714000,Chattanooga city,TN,181568,2003,2003.0,https://www.timesfreepress.com/news/2019/mar/11/chattanooga-success-311-service/,news,"Chattanooga Times Free Press reports that Chattanooga launched its 311 Service Center on February 6, 2003, making it one of the first mid-size US cities to implement a ""One Call to City Hall"" program.",exact
1703012,Aurora city,IL,180215,2025,2025.0,https://www.shawlocal.com/kane-county-chronicle/2025/03/11/city-of-aurora-launches-myaurora-311-for-improved-customer-service/,news,"Aurora IL officially launched myAurora 311 on March 11, 2025, per Shaw Local reporting.",exact
0670098,Santa Rosa city,CA,177959,no_311,,https://www.srcity.org/services,official,Santa Rosa uses direct department phone numbers and a citizen permit portal for service requests; no 311 system was found.,exact
4123850,Eugene city,OR,177428,no_311,,https://www.eugene-or.gov/contact,official,Eugene uses a non-emergency phone number (541-682-5111) for service requests and does not operate a 311 system.,exact
0622020,Elk Grove city,CA,176569,unknown,,https://www.elkgrovecity.org/services/online_services/seeclickfix,official,Elk Grove uses SeeClickFix for citizen issue reporting; no specific launch year was found.,exact
4164900,Salem city,OR,175942,no_311,,https://www.cityofsalem.net/community/residents/report-a-concern,official,Salem OR uses a non-emergency phone number (503-588-6123) and online reporting; no 311 system was found.,exact
0653896,Ontario city,CA,175712,unknown,,https://www.ontarioca.gov/,official,"Ontario CA has a 311 service for non-emergency requests, but no specific launch year was found in available sources.",exact
